timestamp,180.000000 MHz (dBm),176.000000 MHz (dBm)
12:28:40,-84.933,-84.506
12:28:50,-97.956,-93.818
12:29:00,-83.662,-88.322
12:29:10,-94.022,-95.348
12:29:20,-93.322,-85.095
12:29:30,-84.869,-88.989
12:29:40,-91.691,-93.125
12:29:50,-83.957,-85.943
12:30:00,-79.760,-86.427
12:30:10,-91.503,-93.778
12:30:20,-77.785,-89.888
12:30:31,-87.231,-90.419
12:30:41,-73.443,-88.345
12:30:51,-78.505,-88.698
12:31:01,-81.396,-85.839
12:31:11,-87.881,-92.181
12:31:21,-76.798,-87.712
12:31:31,-82.164,-87.621
12:31:41,-85.596,-93.397
12:31:51,-79.930,-85.504
12:32:01,-81.153,-88.436
12:32:11,-84.297,-77.725
12:32:21,-84.167,-84.279
12:32:31,-78.230,-76.109
12:32:41,-93.023,-84.652
12:32:51,-95.814,-85.637
12:33:01,-81.217,-92.554
12:33:11,-78.019,-80.516
12:33:21,-87.588,-84.284
12:33:31,-81.316,-79.381
12:33:41,-85.082,-79.892
12:33:51,-86.438,-87.038
12:34:01,-87.757,-83.486
12:34:11,-89.891,-85.235
12:34:21,-87.847,-84.089
12:34:31,-82.270,-92.208
12:34:41,-95.998,-85.548
12:34:51,-84.175,-86.854
12:35:01,-79.667,-83.795
12:35:11,-93.354,-90.983
12:35:21,-78.605,-87.595
12:35:31,-79.342,-86.046
12:35:41,-82.007,-88.949
12:35:51,-82.780,-90.063
