timestamp,950.000000 MHz (dBm),955.000000 MHz (dBm)
13:18:35,-106.250,-95.143
13:18:45,-89.100,-97.702
13:18:55,-94.886,-91.641
13:19:05,-85.385,-91.930
13:19:15,-86.087,-100.437
13:19:25,-83.777,-91.900
13:19:35,-88.940,-105.343
13:19:45,-88.643,-97.694
13:19:55,-84.117,-95.560
13:20:05,-85.612,-108.775
13:20:15,-82.062,-96.218
13:20:25,-88.299,-102.213
13:20:35,-81.855,-93.470
13:20:46,-94.703,-101.907
13:20:56,-91.337,-104.285
13:21:06,-85.016,-105.251
13:21:16,-94.123,-107.279
13:21:26,-91.925,-93.377
13:21:36,-85.358,-95.662
13:21:46,-83.764,-104.683
13:21:56,-85.075,-99.233
13:22:06,-84.580,-96.287
13:22:16,-89.103,-98.582
13:22:26,-93.291,-94.280
13:22:36,-89.737,-115.877
13:22:46,-91.267,-93.080
13:22:56,-84.275,-94.872
13:23:06,-91.061,-95.006
13:23:16,-81.676,-94.292
13:23:26,-89.535,-95.099
13:23:36,-96.718,-100.196
13:23:46,-85.401,-103.856
13:23:56,-102.223,-97.045
13:24:06,-86.632,-101.765
13:24:16,-87.861,-99.383
13:24:26,-87.655,-98.972
13:24:36,-92.245,-99.909
13:24:46,-107.340,-101.588
13:24:56,-86.133,-105.572
13:25:06,-96.298,-90.378
13:25:16,-86.036,-92.862
13:25:26,-85.630,-88.549
13:25:36,-94.186,-100.910
13:25:46,-84.287,-108.896
13:25:57,-81.715,-107.543
13:26:07,-90.195,-100.219
13:26:17,-89.154,-109.080
13:26:27,-90.757,-96.103
13:26:37,-91.516,-101.595
13:26:47,-90.536,-98.438
13:26:57,-92.899,-104.848
13:27:07,-87.105,-106.156
13:27:17,-87.338,-93.955
13:27:27,-84.591,-99.933
13:27:37,-104.233,-94.113
13:27:47,-88.943,-93.678
13:27:57,-84.601,-109.863
13:28:07,-91.798,-89.680
13:28:17,-85.622,-99.449
13:28:27,-88.085,-95.892
13:28:37,-98.114,-96.284
13:28:47,-86.751,-93.215
13:28:57,-93.145,-100.357
13:29:07,-86.338,-93.778
13:29:17,-94.306,-96.141
13:29:27,-89.326,-104.176
13:29:37,-93.114,-98.538
13:29:47,-87.813,-92.710
13:29:57,-92.443,-93.406
