#SESSION#,14:55:34,950.000000 MHz (dBFS)
14:55:34,-54.519
14:55:44,-54.609
14:55:54,-54.630
14:56:04,-54.631
14:56:14,-54.713
14:56:24,-54.672
14:56:34,-54.680
14:56:44,-54.658
14:56:54,-54.704
14:57:04,-54.691
14:57:14,-54.654
14:57:24,-54.676
14:57:34,-54.689
14:57:44,-54.669
14:57:54,-54.669
14:58:04,-54.650
14:58:14,-54.658
14:58:24,-54.662
14:58:34,-54.686
14:58:44,-54.692
14:58:55,-54.710
14:59:05,-54.714
14:59:15,-54.711
14:59:25,-54.732
14:59:35,-54.731
14:59:45,-54.735
14:59:55,-54.725
15:00:05,-54.738
15:00:15,-54.712
15:00:25,-54.727
15:00:35,-54.719
15:00:45,-54.721
15:00:55,-54.733
15:01:05,-54.727
15:01:15,-54.733
15:01:25,-54.740
15:01:35,-54.754
15:01:45,-54.755
15:01:55,-54.767
15:02:05,-54.764
15:02:15,-54.783
15:02:25,-54.778
15:02:35,-54.784
15:02:45,-54.785
15:02:55,-54.787
15:03:05,-54.790
15:03:15,-54.786
15:03:25,-54.789
15:03:35,-54.790
15:03:45,-54.788
15:03:55,-54.798
15:04:05,-54.801
15:04:15,-54.803
15:04:25,-54.799
15:04:35,-54.797
15:04:45,-54.787
15:04:55,-54.796
15:05:05,-54.791
15:05:15,-54.787
15:05:25,-54.792
15:05:35,-54.785
15:05:45,-54.776
15:05:55,-54.777
15:06:05,-54.775
15:06:15,-54.770
15:06:25,-54.783
15:06:35,-54.778
15:06:45,-54.774
15:06:55,-54.779
15:07:05,-54.780
15:07:15,-54.773
15:07:25,-54.773
15:07:35,-54.774
15:07:45,-54.774
15:07:56,-54.781
15:08:06,-54.784
15:08:16,-54.783
15:08:26,-54.790
15:08:36,-54.792
15:08:46,-54.794
15:08:56,-54.797
15:09:06,-54.798
15:09:16,-54.798
15:09:26,-54.798
15:09:36,-54.798
15:09:46,-54.801
15:09:56,-54.805
15:10:06,-54.807
15:10:16,-54.809
15:10:26,-54.806
15:10:36,-54.805
15:10:46,-54.808
15:10:56,-54.810
15:11:06,-54.807
15:11:16,-54.810
15:11:26,-54.807
15:11:36,-54.805
